 2.333333333333333e-01 -9.637016952105185e-05 -1.878069614608235e-03 -1.877654065431222e-03 -3.095854429242123e-05  2.388614950301759e-01 -1.184175969568581e-04 -2.248733691349036e-03 -1.895450519703190e-03 -4.047001937142886e-05  2.490448411037800e-01 -1.450062779389666e-04 -2.696047810059249e-03 -1.904213738060101e-03 -5.128259799574292e-05  2.599870295678244e-01
 2.500000000000000e-01 -1.192750975100125e-04 -2.116155946242676e-03 -2.115689334434123e-03 -3.608526320222211e-05  2.376722222664650e-01 -1.453326341463376e-04 -2.530267605497599e-03 -2.137823508154696e-03 -4.713533349574167e-05  2.477145585126541e-01 -1.766263672340618e-04 -3.028534388472504e-03 -2.150464664479490e-03 -5.967736283608860e-05  2.584963653534323e-01
 2.666666666666667e-01 -1.464621740217380e-04 -2.362407953811596e-03 -2.361888710223498e-03 -4.160267113195726e-05  2.363705283929716e-01 -1.769901863711704e-04 -2.820441173212257e-03 -2.389013158375891e-03 -5.429798283579368e-05  2.462600920350111e-01 -2.134917279936407e-04 -3.369794101155565e-03 -2.406329617594516e-03 -6.868320165950847e-05  2.568684672420751e-01
 2.833333333333333e-01 -1.785552663211287e-04 -2.615638200288095e-03 -2.615064972181086e-03 -4.748466174259863e-05  2.349519138701142e-01 -2.140406528413248e-04 -3.117697353937660e-03 -2.647848972403527e-03 -6.192223891771792e-05  2.446768268054343e-01 -2.562746403433624e-04 -3.717788163985547e-03 -2.670667527624404e-03 -7.825227534442175e-05  2.550986632675770e-01
 3.000000000000000e-01 -2.162359342464462e-04 -2.874596995629142e-03 -2.873968641756042e-03 -5.369535239634071e-05  2.334117753393521e-01 -2.571900700509659e-04 -3.420410167696453e-03 -2.913083606756905e-03 -6.995999305067085e-05  2.429600852189817e-01 -3.056998572527475e-04 -4.070407915535174e-03 -2.942241593684780e-03 -8.832145155715510e-05  2.531822703663217e-01
 3.166666666666667e-01 -2.602427080398220e-04 -3.137962476162770e-03 -3.137278062146809e-03 -6.018793400362765e-05  2.317454056472862e-01 -3.071983512250576e-04 -3.726875936647334e-03 -3.183381137571883e-03 -7.834946861175890e-05  2.411051304391160e-01 -3.625417471501413e-04 -4.425468940460586e-03 -3.219705431474651e-03 -9.881091048165314e-05  2.511146011428114e-01
 3.333333333333333e-01 -3.113691784243783e-04 -3.404331126495741e-03 -3.403589920053629e-03 -6.690350684543378e-05  2.299479938425362e-01 -3.648762059669658e-04 -4.035305330217343e-03 -3.457306072453037e-03 -8.701395642311122e-05  2.391071699158293e-01 -4.276200099382482e-04 -4.780706376225741e-03 -3.501590403791499e-03 -1.096228236250052e-04  2.488909705585615e-01
 3.500000000000000e-01 -3.704606830651144e-04 -3.672209017029915e-03 -3.671410484651472e-03 -7.376992791550269e-05  2.280146251675633e-01 -4.310805294352321e-04 -4.343816514016219e-03 -3.733313448927800e-03 -9.586060815891528e-05  2.369613589649975e-01 -5.017937665803066e-04 -5.133771686962496e-03 -3.786294551541391e-03 -1.206401493092160e-04  2.465067026430157e-01
 3.666666666666666e-01 -4.384093497247291e-04 -3.940004049186041e-03 -3.939147850985758e-03 -8.070069887681358e-05  2.259402811321875e-01 -5.067080313711295e-04 -4.650429713400184e-03 -4.009740373269066e-03 -1.047793304816205e-04  2.346628044897480e-01 -5.859538090144945e-04 -5.482231194941234e-03 -4.072073549943267e-03 -1.317255990681693e-04  2.439571372776560e-01
 3.833333333333334e-01 -5.161472316418461e-04 -4.206019509246706e-03 -4.205105494773098e-03 -8.759393562182693e-05  2.237198397782861e-01 -5.926868552525028e-04 -4.953063508615851e-03 -4.284799362148539e-03 -1.136418315031348e-04  2.322065689593571e-01 -6.810127809707620e-04 -5.823566650470346e-03 -4.357034108660340e-03 -1.427208372963215e-04  2.412376371823177e-01
 4.000000000000000e-01 -6.046372435299305e-04 -4.468449250392970e-03 -4.467477455257718e-03 -9.433147043863555e-05  2.213480762799911e-01 -6.899659169067041e-04 -5.249533180122390e-03 -4.556573853240431e-03 -1.223008812876319e-04  2.295876748012778e-01 -7.878930436429135e-04 -6.155178101858172e-03 -4.639130225384092e-03 -1.534459872144026e-04  2.383435952917791e-01
 4.166666666666667e-01 -7.048615800570590e-04 -4.725374832921792e-03 -4.724345474302949e-03 -1.007781470218419e-04  2.188196640666060e-01 -7.995016703926799e-04 -5.537551420456754e-03 -4.823016249939638e-03 -1.305898595241675e-04  2.268011094077379e-01 -9.075119627575540e-04 -6.474389313632423e-03 -4.916162681818159e-03 -1.636995255558382e-04  2.352704427565160e-01
 4.333333333333333e-01 -8.178072685526422e-04 -4.974764953209199e-03 -4.973678426145545e-03 -1.067813809253401e-04  2.161291767180229e-01 -9.222419874163751e-04 -5.814731723618516e-03 -5.081948860497565e-03 -1.383226762152051e-04  2.238418310104210e-01 -1.040764341030856e-03 -6.778455974572994e-03 -5.185782158000529e-03 -1.732586641453454e-04  2.320136577882191e-01
 4.500000000000000e-01 -9.444484799043945e-04 -5.214477504130233e-03 -5.213334377308143e-03 -1.121710734340933e-04  2.132710909448577e-01 -1.059106815870126e-03 -6.078594755336786e-03 -5.331068084001078e-03 -1.452941652056172e-04  2.207047757356788e-01 -1.188501701742492e-03 -7.064576903566933e-03 -5.445496305689579e-03 -1.818803265186686e-04  2.285687757119119e-01
 4.666666666666667e-01 -1.085725193519987e-03 -5.442264605027503e-03 -5.441065618084218e-03 -1.167599842006387e-04  2.102397910425548e-01 -1.210965264630492e-03 -6.326577998886529e-03 -5.567952185816183e-03 -1.512810654525701e-04  2.173848662191713e-01 -1.351508118641376e-03 -7.329908451747913e-03 -5.692681100417540e-03 -1.893028420611176e-04  2.249314006043635e-01
 4.833333333333333e-01 -1.242517788179923e-03 -5.655780953882417e-03 -5.654527013803423e-03 -1.203446855127313e-04  2.070295752824101e-01 -1.378608747449106e-03 -6.556048962548688e-03 -5.790072994524609e-03 -1.560437207987000e-04  2.138770222335741e-01 -1.530472282543591e-03 -7.571582290921475e-03 -5.924596767292956e-03 -1.952484937247090e-04  2.210972189367021e-01
 5.000000000000000e-01 -1.415617111355447e-03 -5.852595847684605e-03 -5.851288026273993e-03 -1.227072378399835e-04  2.036346648116751e-01 -1.562719811345148e-03 -6.764322227614250e-03 -5.994811842171210e-03 -1.593286451293668e-04  2.101761738668723e-01 -1.725955495567935e-03 -7.786726760672380e-03 -6.138408541787710e-03 -1.994270676991400e-04  2.170620157466195e-01
